ifInOctets11,ifOutOctets11,ifoutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcp?ActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class
1720345568,950817778,0,50125711,18476,0,7768014,4370,1,688,511,46,14,0,5,3,205025,180898,1,22,67705799,236510,159653,516,23,50968341,8,0,55,30,42,21,22,23,normal
1758285451,883126781,0,48565201,15084,0,7603028,3751,1,635,568,54,15,0,5,3,270911,187681,1,25,63128634,234624,178636,564,20,65316058,7,0,50,27,52,23,24,25,normal
1942119779,1040643930,0,46257936,19024,0,6673231,4456,1,728,615,52,15,0,4,3,242318,162965,1,24,64948407,228031,169440,643,26,63625431,7,0,55,28,43,25,20,23,normal
2420591656,932582625,0,51592376,16347,0,7532024,4454,1,652,497,57,15,2,5,3,210614,199226,1,19,64386714,211614,166964,560,23,52214841,6,0,58,24,42,20,27,23,normal
2452598709,958032535,0,57723452,18827,0,6964137,4422,1,800,597,57,16,0,4,3,277804,169065,1,25,62360939,227543,201488,551,23,65600193,6,0,51,28,41,25,27,23,normal
2774962571,984582802,0,56311009,17654,0,8346562,4475,1,792,614,56,13,0,4,3,233540,165891,1,19,62612179,222629,161617,587,25,53745540,7,0,57,30,48,24,21,26,normal
2659772911,1009294149,0,48561118,15908,0,8378570,3917,1,629,591,57,16,0,6,3,217921,181702,1,20,64341046,268499,188127,607,20,61408802,8,0,57,24,40,21,25,21,normal
2517905366,991259147,0,44748183,14925,0,6804799,3447,1,618,520,43,13,0,5,3,222887,214480,1,23,51511604,272094,202946,622,21,62702644,8,0,55,27,48,22,24,22,normal
2253427991,1016132209,0,48322430,15877,0,7016128,4531,1,724,495,52,12,0,5,3,240664,185447,1,22,60110404,265094,191825,641,21,60073871,7,0,49,26,46,22,23,24,normal
2341372634,976049595,0,49147083,17468,0,6464558,4168,1,789,585,47,13,0,4,3,276777,205051,1,20,66901302,281370,169935,629,21,66734522,7,0,43,25,47,24,27,24,normal
2758980455,1019697611,0,58474220,17370,0,8317708,3411,1,714,478,54,14,0,5,3,236106,176256,1,21,51914931,214427,193725,558,21,63181615,8,0,58,28,46,23,22,24,normal
3337677820,948255696,0,53877085,16957,0,7989019,4449,1,672,530,51,16,0,6,3,253698,193332,1,25,56896534,254172,204780,489,24,55644955,8,0,57,29,51,21,20,23,normal
2939733948,1055849057,0,56727520,15070,0,6963365,3868,1,780,591,53,14,0,4,3,277603,217792,1,21,58063682,257175,186837,612,26,56546977,8,0,56,26,44,25,27,24,normal
2817969226,828168166,0,52947908,16143,0,7511790,4305,1,694,543,44,14,0,5,3,233306,204426,1,21,63531889,256993,218348,487,23,65180875,6,0,48,27,49,23,24,22,normal
3150032466,896245641,0,52747300,14905,0,7449949,3921,1,785,495,44,14,0,5,3,260772,207868,1,20,63493291,274671,164531,509,26,53123770,7,0,47,29,42,23,26,22,normal
